seed,baseline,throughput_total_mbps,urllc_latency_mean_ms,urllc_latency_p95_ms,urllc_latency_p99_ms,sla_violation_pct,jain_fairness,pdr_pct,action_churn_per_s,decision_latency_ms,unsafe_actions_applied
1013,B1,91.96,14.5,17.51,20.14,21.5,0.6975,100.0,0.666,0.035,1
1014,B1,89.77,14.41,19.69,22.64,19.42,0.7089,100.0,0.599,0.046,0
1015,B1,85.49,14.41,19.66,22.61,19.13,0.7437,100.0,0.646,0.043,0
1016,B1,95.5,14.42,17.78,20.45,21.41,0.6396,100.0,0.592,0.047,0
1017,B1,92.82,15.78,18.51,21.29,21.27,0.7221,100.0,0.587,0.038,0
1018,B1,88.38,12.04,17.26,19.85,23.03,0.72,100.0,0.643,0.034,0
1019,B1,88.3,15.08,16.63,19.13,23.84,0.7113,100.0,0.635,0.045,1
1020,B1,91.63,15.84,19.84,22.82,20.97,0.6698,100.0,0.604,0.044,1
1021,B1,93.09,15.56,16.32,18.77,23.49,0.6858,100.0,0.619,0.036,1
1022,B1,88.25,15.24,18.96,21.8,22.44,0.6543,100.0,0.604,0.046,1
1023,B1,85.56,14.1,18.75,21.56,23.02,0.644,100.0,0.649,0.035,1
1024,B1,91.95,15.18,16.77,19.28,26.63,0.6797,100.0,0.616,0.056,0
1025,B1,92.56,13.27,20.92,24.06,21.41,0.683,100.0,0.566,0.04,1
1026,B1,93.7,14.57,20.24,23.28,23.19,0.6625,100.0,0.642,0.035,1
1027,B1,88.37,15.4,17.9,20.58,21.5,0.6889,100.0,0.655,0.036,0
1028,B1,86.89,16.12,16.95,19.49,23.53,0.6656,100.0,0.612,0.034,0
1029,B1,88.34,11.96,16.47,18.93,21.74,0.6681,100.0,0.608,0.032,1
1030,B1,89.6,14.92,18.06,20.76,23.99,0.6858,100.0,0.622,0.031,1
1001,B2,96.78,5.28,4.84,5.57,4.1,0.7462,100.0,0.342,0.077,0
1002,B2,91.93,5.13,6.2,7.13,4.61,0.7666,100.0,0.372,0.077,0
1003,B2,92.42,4.46,5.65,6.5,5.52,0.7531,100.0,0.374,0.081,0
1004,B2,96.86,5.12,6.18,7.11,5.11,0.7972,100.0,0.347,0.07,0
1005,B2,94.08,5.04,4.86,5.59,4.72,0.7649,100.0,0.352,0.067,0
1006,B2,92.86,4.31,7.04,8.1,3.7,0.774,100.0,0.374,0.076,0
1007,B2,98.41,4.46,5.42,6.23,4.23,0.8006,100.0,0.357,0.073,0
1008,B2,94.16,5.29,6.18,7.1,5.7,0.728,100.0,0.338,0.086,0
1009,B2,96.51,5.19,5.43,6.25,4.3,0.7583,100.0,0.32,0.088,0
1010,B2,96.37,5.42,5.73,6.59,4.55,0.7198,100.0,0.341,0.076,0
1011,B2,102.32,4.12,6.36,7.32,4.46,0.7663,100.0,0.355,0.074,0
1012,B2,90.14,4.24,6.25,7.19,3.81,0.6958,100.0,0.337,0.081,0
1013,B2,96.54,4.8,5.81,6.68,4.73,0.7746,100.0,0.387,0.074,0
1014,B2,94.49,4.76,6.74,7.75,3.64,0.7853,100.0,0.334,0.087,0
1015,B2,90.49,4.76,6.73,7.74,3.49,0.8178,100.0,0.371,0.084,0
1016,B2,99.85,4.77,5.92,6.81,4.68,0.7206,100.0,0.327,0.088,0
1017,B2,97.35,5.33,6.23,7.17,4.61,0.7976,100.0,0.324,0.078,0
1018,B2,93.19,3.79,5.7,6.55,5.53,0.7956,100.0,0.368,0.072,0
1019,B2,93.11,5.04,5.43,6.24,5.95,0.7875,100.0,0.362,0.086,0
1020,B2,96.23,5.35,6.8,7.82,4.45,0.7488,100.0,0.337,0.085,0
1021,B2,97.59,5.24,5.3,6.09,5.77,0.7637,100.0,0.349,0.076,0
1022,B2,93.07,5.1,6.42,7.39,5.22,0.7343,100.0,0.337,0.087,0
1023,B2,90.55,4.63,6.34,7.29,5.52,0.7246,100.0,0.373,0.074,0
1024,B2,96.53,5.08,5.49,6.31,7.42,0.758,100.0,0.347,0.099,0
1025,B2,97.1,4.3,7.27,8.36,4.68,0.7611,100.0,0.307,0.08,0
1026,B2,98.17,4.83,6.97,8.02,5.61,0.7419,100.0,0.368,0.074,0
1027,B2,93.18,5.17,5.97,6.86,4.73,0.7666,100.0,0.378,0.075,0
1028,B2,91.8,5.46,5.56,6.4,5.79,0.7448,100.0,0.343,0.073,0
1029,B2,93.16,3.76,5.36,6.16,4.85,0.7472,100.0,0.34,0.07,0
1030,B2,94.33,4.97,6.04,6.94,6.03,0.7637,100.0,0.352,0.069,0
1001,B3,100.29,2.61,3.17,3.65,0.0,0.927,100.0,0.048,0.115,0
1002,B3,102.11,2.55,3.85,4.43,0.0,0.9339,100.0,0.055,0.115,0
1003,B3,100.91,2.25,3.58,4.11,0.0,0.9464,100.0,0.056,0.122,0
1004,B3,104.85,2.54,3.84,4.42,0.0,0.9407,100.0,0.049,0.103,0
1005,B3,101.96,2.51,3.18,3.66,0.0,0.9354,100.0,0.051,0.098,0
1006,B3,102.77,2.18,4.27,4.91,0.0,0.9215,100.0,0.056,0.114,0
1007,B3,105.15,2.25,3.46,3.98,0.0,0.9287,100.0,0.052,0.109,0
1008,B3,98.66,2.62,3.84,4.41,0.0,0.9488,100.0,0.047,0.129,0
1009,B3,101.37,2.57,3.47,3.99,0.0,0.9297,100.0,0.043,0.133,0
1010,B3,97.93,2.67,3.61,4.16,0.0,0.9332,100.0,0.048,0.113,0
1011,B3,102.09,2.1,3.93,4.52,0.0,0.9319,100.0,0.051,0.109,0
1012,B3,95.79,2.15,3.87,4.46,0.0,0.923,100.0,0.047,0.122,0
1013,B3,102.82,2.4,3.65,4.2,0.0,0.9356,100.0,0.059,0.109,0
1014,B3,103.78,2.38,4.12,4.74,0.0,0.9207,100.0,0.046,0.132,0
1015,B3,106.68,2.38,4.11,4.73,0.0,0.9186,100.0,0.055,0.127,0
1016,B3,98.0,2.39,3.71,4.27,0.0,0.9349,100.0,0.044,0.134,0
1017,B3,104.88,2.63,3.87,4.45,0.0,0.9339,100.0,0.043,0.116,0
1018,B3,104.7,1.95,3.6,4.14,0.0,0.9465,100.0,0.055,0.107,0
1019,B3,103.97,2.51,3.46,3.98,0.0,0.9523,100.0,0.053,0.13,0
1020,B3,100.52,2.64,4.15,4.77,0.0,0.9318,100.0,0.047,0.129,0
1021,B3,101.85,2.59,3.4,3.91,0.0,0.9498,100.0,0.05,0.113,0
1022,B3,99.23,2.53,3.96,4.56,0.0,0.9423,100.0,0.047,0.131,0
1023,B3,98.36,2.33,3.92,4.51,0.0,0.9464,100.0,0.056,0.11,0
1024,B3,101.34,2.52,3.49,4.02,0.0,0.9722,100.0,0.049,0.151,0
1025,B3,101.62,2.18,4.38,5.04,0.0,0.9349,100.0,0.039,0.12,0
1026,B3,99.91,2.41,4.24,4.87,0.0,0.9476,100.0,0.054,0.11,0
1027,B3,102.11,2.56,3.73,4.29,0.0,0.9356,100.0,0.057,0.112,0
1028,B3,100.17,2.69,3.53,4.06,0.0,0.9501,100.0,0.048,0.108,0
1029,B3,100.38,1.94,3.43,3.94,0.0,0.9373,100.0,0.048,0.103,0
1030,B3,101.85,2.48,3.77,4.33,0.0,0.9533,100.0,0.05,0.102,0
