seed,variant,throughput_mbps,latency_p95_ms,sla_violation_pct,jain_fairness,action_churn_per_s,decision_latency_ms,unsafe_actions_applied,queue_peak_depth
1009,A1_wo_Memory,95.9,7.46,5.54,0.8655,0.856,0.069,0,6
1010,A1_wo_Memory,95.23,6.51,4.55,0.8535,0.824,0.084,0,7
1011,A1_wo_Memory,91.66,7.29,5.88,0.8329,0.876,0.078,0,7
1012,A1_wo_Memory,98.81,6.77,2.81,0.8532,0.863,0.089,0,5
1013,A1_wo_Memory,95.76,7.19,5.92,0.852,0.874,0.086,0,7
1014,A1_wo_Memory,96.1,7.09,4.55,0.8526,0.858,0.079,0,6
1015,A1_wo_Memory,96.35,8.93,3.83,0.8668,0.905,0.074,0,6
1016,A1_wo_Memory,98.9,7.95,4.37,0.8815,0.772,0.082,0,7
1017,A1_wo_Memory,96.71,8.15,4.0,0.8656,0.883,0.079,0,5
1018,A1_wo_Memory,97.23,6.42,4.67,0.8731,0.89,0.083,0,5
1019,A1_wo_Memory,97.37,7.14,2.61,0.8867,0.844,0.09,0,7
1020,A1_wo_Memory,99.31,6.75,4.5,0.8776,0.905,0.086,0,5
1021,A1_wo_Memory,90.2,7.29,4.34,0.8688,0.856,0.077,0,7
1022,A1_wo_Memory,95.05,9.67,6.22,0.8728,0.912,0.091,0,7
1023,A1_wo_Memory,100.26,7.95,4.71,0.8386,0.816,0.079,0,6
1024,A1_wo_Memory,95.74,7.96,2.13,0.897,0.835,0.091,0,5
1025,A1_wo_Memory,97.55,8.65,5.96,0.862,0.888,0.06,0,5
1026,A1_wo_Memory,95.54,8.69,5.99,0.8788,0.902,0.086,0,6
1027,A1_wo_Memory,99.98,6.86,3.19,0.8866,0.917,0.081,0,5
1028,A1_wo_Memory,95.93,7.87,3.02,0.8267,0.976,0.079,0,7
1029,A1_wo_Memory,94.79,7.09,4.2,0.8588,0.805,0.086,0,7
1030,A1_wo_Memory,99.69,5.07,3.86,0.8519,0.899,0.069,0,6
1001,A2_wo_Indirect_Detection,97.45,10.15,14.19,0.8286,0.241,0.07,0,4
1002,A2_wo_Indirect_Detection,95.87,13.1,14.91,0.8168,0.262,0.063,0,5
1003,A2_wo_Indirect_Detection,94.79,13.26,19.28,0.797,0.207,0.065,0,4
1004,A2_wo_Indirect_Detection,89.25,12.31,21.03,0.8304,0.253,0.052,0,4
1005,A2_wo_Indirect_Detection,87.11,13.45,15.76,0.8048,0.274,0.054,0,4
1006,A2_wo_Indirect_Detection,88.62,13.12,18.72,0.8137,0.263,0.073,0,5
1007,A2_wo_Indirect_Detection,92.8,14.12,20.82,0.8116,0.246,0.068,0,5
1008,A2_wo_Indirect_Detection,88.7,13.71,22.4,0.8175,0.215,0.063,0,4
1009,A2_wo_Indirect_Detection,91.47,12.31,19.88,0.8126,0.227,0.055,0,5
1010,A2_wo_Indirect_Detection,90.74,10.74,17.9,0.7985,0.213,0.067,0,4
1011,A2_wo_Indirect_Detection,86.83,12.04,20.56,0.7741,0.236,0.062,0,4
1012,A2_wo_Indirect_Detection,94.66,11.19,14.41,0.7981,0.23,0.07,0,4
1013,A2_wo_Indirect_Detection,91.32,11.88,20.63,0.7966,0.235,0.068,0,4
1014,A2_wo_Indirect_Detection,91.69,11.7,17.91,0.7974,0.228,0.063,0,5
1015,A2_wo_Indirect_Detection,91.96,14.74,16.45,0.8141,0.249,0.059,0,5
1016,A2_wo_Indirect_Detection,94.77,13.12,17.53,0.8315,0.19,0.065,0,5
1017,A2_wo_Indirect_Detection,92.36,13.45,16.8,0.8127,0.239,0.063,0,4
1018,A2_wo_Indirect_Detection,92.93,10.6,18.15,0.8216,0.242,0.066,0,5
1019,A2_wo_Indirect_Detection,93.08,11.79,14.01,0.8377,0.222,0.071,0,4
1020,A2_wo_Indirect_Detection,95.21,11.14,17.8,0.8268,0.249,0.068,0,4
1021,A2_wo_Indirect_Detection,85.22,12.03,17.48,0.8165,0.227,0.061,0,5
1022,A2_wo_Indirect_Detection,90.54,15.96,21.23,0.8212,0.252,0.072,0,4
1023,A2_wo_Indirect_Detection,96.26,13.12,18.23,0.7808,0.209,0.063,0,5
1024,A2_wo_Indirect_Detection,91.3,13.14,13.05,0.8499,0.218,0.072,0,5
1025,A2_wo_Indirect_Detection,93.28,14.28,20.71,0.8085,0.241,0.048,0,4
1026,A2_wo_Indirect_Detection,91.07,14.34,20.78,0.8284,0.248,0.068,0,5
1027,A2_wo_Indirect_Detection,95.94,11.32,15.17,0.8376,0.254,0.064,0,4
1028,A2_wo_Indirect_Detection,91.5,12.99,14.84,0.7668,0.281,0.063,0,4
1029,A2_wo_Indirect_Detection,90.25,11.71,17.21,0.8047,0.204,0.068,0,5
1030,A2_wo_Indirect_Detection,95.63,8.37,16.51,0.7965,0.246,0.055,0,5
1001,A3_wo_TVS_EEVS,97.72,7.83,7.75,0.7341,0.181,0.06,0,6
1002,A3_wo_TVS_EEVS,96.23,10.26,8.35,0.7205,0.197,0.054,0,5
1003,A3_wo_TVS_EEVS,95.21,10.39,11.92,0.6976,0.156,0.055,0,6
1004,A3_wo_TVS_EEVS,90.0,9.61,13.35,0.7362,0.19,0.044,0,6
1005,A3_wo_TVS_EEVS,87.99,10.55,9.04,0.7067,0.206,0.046,0,4
1006,A3_wo_TVS_EEVS,89.41,10.27,11.46,0.7169,0.197,0.062,0,5
1007,A3_wo_TVS_EEVS,93.34,11.1,13.18,0.7145,0.184,0.058,0,5
1008,A3_wo_TVS_EEVS,89.48,10.76,14.47,0.7214,0.161,0.053,0,6
1009,A3_wo_TVS_EEVS,92.09,9.61,12.41,0.7157,0.17,0.047,0,5
1010,A3_wo_TVS_EEVS,91.4,8.32,10.79,0.6994,0.16,0.056,0,6
1011,A3_wo_TVS_EEVS,87.72,9.38,12.96,0.6713,0.177,0.053,0,6
1012,A3_wo_TVS_EEVS,95.09,8.68,7.94,0.6989,0.173,0.06,0,4
1013,A3_wo_TVS_EEVS,91.95,9.25,13.03,0.6973,0.176,0.058,0,6
1014,A3_wo_TVS_EEVS,92.3,9.11,10.8,0.6981,0.171,0.053,0,5
1015,A3_wo_TVS_EEVS,92.55,11.6,9.61,0.7174,0.187,0.05,0,5
1016,A3_wo_TVS_EEVS,95.19,10.27,10.49,0.7374,0.142,0.055,0,6
1017,A3_wo_TVS_EEVS,92.93,10.55,9.89,0.7158,0.179,0.053,0,4
1018,A3_wo_TVS_EEVS,93.47,8.21,10.99,0.7261,0.182,0.056,0,4
1019,A3_wo_TVS_EEVS,93.61,9.18,7.61,0.7446,0.166,0.06,0,6
1020,A3_wo_TVS_EEVS,95.61,8.65,10.71,0.7321,0.187,0.057,0,4
1021,A3_wo_TVS_EEVS,86.2,9.38,10.45,0.7202,0.17,0.052,0,6
1022,A3_wo_TVS_EEVS,91.22,12.61,13.52,0.7256,0.189,0.061,0,6
1023,A3_wo_TVS_EEVS,96.59,10.28,11.06,0.679,0.157,0.053,0,5
1024,A3_wo_TVS_EEVS,91.93,10.29,6.83,0.7587,0.163,0.061,0,4
1025,A3_wo_TVS_EEVS,93.79,11.22,13.09,0.7109,0.181,0.041,0,4
1026,A3_wo_TVS_EEVS,91.72,11.28,13.14,0.7339,0.186,0.058,0,5
1027,A3_wo_TVS_EEVS,96.3,8.8,8.56,0.7445,0.191,0.054,0,4
1028,A3_wo_TVS_EEVS,92.12,10.17,8.29,0.6628,0.21,0.053,0,6
1029,A3_wo_TVS_EEVS,90.94,9.11,10.22,0.7066,0.153,0.057,0,6
1030,A3_wo_TVS_EEVS,96.0,6.38,9.66,0.6971,0.185,0.047,0,5
1001,A4_wo_Safety_Guard,104.41,5.06,5.44,0.8959,0.121,0.049,5,8
1002,A4_wo_Safety_Guard,102.64,7.59,5.96,0.8846,0.133,0.044,6,9
1003,A4_wo_Safety_Guard,101.44,7.72,9.14,0.8655,0.1,0.045,5,9
1004,A4_wo_Safety_Guard,95.26,6.91,10.41,0.8977,0.128,0.036,5,9
1005,A4_wo_Safety_Guard,92.86,7.89,6.58,0.8731,0.141,0.038,3,8
1006,A4_wo_Safety_Guard,94.55,7.6,8.73,0.8816,0.134,0.051,4,11
1007,A4_wo_Safety_Guard,99.22,8.46,10.26,0.8796,0.123,0.047,4,9
1008,A4_wo_Safety_Guard,94.63,8.11,11.41,0.8853,0.105,0.043,5,8
1009,A4_wo_Safety_Guard,97.73,6.91,9.58,0.8806,0.112,0.038,4,11
1010,A4_wo_Safety_Guard,96.91,5.57,8.13,0.867,0.104,0.046,5,8
1011,A4_wo_Safety_Guard,92.54,6.67,10.07,0.8436,0.118,0.043,5,9
1012,A4_wo_Safety_Guard,101.3,5.94,5.6,0.8666,0.114,0.049,3,8
1013,A4_wo_Safety_Guard,97.56,6.54,10.12,0.8652,0.117,0.047,5,9
1014,A4_wo_Safety_Guard,97.98,6.39,8.14,0.8659,0.113,0.044,4,8
1015,A4_wo_Safety_Guard,98.28,8.99,7.09,0.882,0.125,0.041,4,9
1016,A4_wo_Safety_Guard,101.41,7.6,7.87,0.8987,0.09,0.045,6,11
1017,A4_wo_Safety_Guard,98.73,7.89,7.33,0.8807,0.12,0.044,3,9
1018,A4_wo_Safety_Guard,99.36,5.45,8.32,0.8892,0.121,0.046,6,8
1019,A4_wo_Safety_Guard,99.54,6.46,5.31,0.9047,0.109,0.049,5,9
1020,A4_wo_Safety_Guard,101.91,5.91,8.06,0.8943,0.125,0.047,3,11
1021,A4_wo_Safety_Guard,90.74,6.67,7.83,0.8844,0.112,0.042,6,11
1022,A4_wo_Safety_Guard,96.69,10.04,10.56,0.8888,0.127,0.05,5,8
1023,A4_wo_Safety_Guard,103.08,7.61,8.38,0.85,0.101,0.044,6,9
1024,A4_wo_Safety_Guard,97.54,7.62,4.61,0.9164,0.107,0.049,6,8
1025,A4_wo_Safety_Guard,99.75,8.59,10.18,0.8766,0.121,0.034,3,9
1026,A4_wo_Safety_Guard,97.29,8.65,10.23,0.8957,0.125,0.047,6,9
1027,A4_wo_Safety_Guard,102.73,6.06,6.15,0.9046,0.129,0.044,3,11
1028,A4_wo_Safety_Guard,97.77,7.49,5.91,0.8365,0.144,0.044,5,11
1029,A4_wo_Safety_Guard,96.37,6.39,7.63,0.873,0.099,0.047,6,11
1030,A4_wo_Safety_Guard,102.38,3.54,7.13,0.8651,0.124,0.038,4,11
1001,A5_wo_Windowing,99.98,6.64,3.91,0.9048,0.552,0.161,0,44
1002,A5_wo_Windowing,98.45,8.65,4.34,0.8957,0.589,0.14,0,32
1003,A5_wo_Windowing,97.4,8.75,6.92,0.8804,0.493,0.146,0,44
1004,A5_wo_Windowing,92.03,8.11,7.95,0.9062,0.572,0.106,0,44
1005,A5_wo_Windowing,89.95,8.88,4.84,0.8865,0.61,0.113,0,25
1006,A5_wo_Windowing,91.41,8.66,6.59,0.8933,0.59,0.17,0,32
1007,A5_wo_Windowing,95.47,9.34,7.83,0.8917,0.56,0.155,0,32
1008,A5_wo_Windowing,91.49,9.06,8.76,0.8962,0.506,0.138,0,44
1009,A5_wo_Windowing,94.18,8.11,7.28,0.8925,0.528,0.115,0,32
1010,A5_wo_Windowing,93.47,7.04,6.1,0.8816,0.503,0.15,0,44
1011,A5_wo_Windowing,89.67,7.92,7.67,0.8629,0.543,0.137,0,44
1012,A5_wo_Windowing,97.28,7.34,4.04,0.8813,0.533,0.161,0,25
1013,A5_wo_Windowing,94.03,7.81,7.72,0.8802,0.542,0.155,0,44
1014,A5_wo_Windowing,94.39,7.69,6.11,0.8807,0.529,0.139,0,32
1015,A5_wo_Windowing,94.65,9.75,5.25,0.8936,0.566,0.127,0,32
1016,A5_wo_Windowing,97.38,8.66,5.89,0.907,0.462,0.145,0,44
1017,A5_wo_Windowing,95.05,8.88,5.45,0.8925,0.549,0.138,0,25
1018,A5_wo_Windowing,95.6,6.95,6.25,0.8994,0.554,0.148,0,25
1019,A5_wo_Windowing,95.75,7.75,3.81,0.9117,0.518,0.162,0,44
1020,A5_wo_Windowing,97.81,7.31,6.05,0.9034,0.566,0.153,0,25
1021,A5_wo_Windowing,88.11,7.92,5.86,0.8955,0.527,0.133,0,44
1022,A5_wo_Windowing,93.28,10.59,8.07,0.8991,0.571,0.166,0,44
1023,A5_wo_Windowing,98.83,8.66,6.3,0.868,0.496,0.139,0,32
1024,A5_wo_Windowing,94.01,8.67,3.24,0.9211,0.511,0.165,0,25
1025,A5_wo_Windowing,95.94,9.44,7.77,0.8893,0.552,0.094,0,25
1026,A5_wo_Windowing,93.8,9.48,7.8,0.9046,0.563,0.155,0,32
1027,A5_wo_Windowing,98.52,7.44,4.49,0.9117,0.575,0.142,0,25
1028,A5_wo_Windowing,94.21,8.57,4.3,0.8572,0.621,0.139,0,44
1029,A5_wo_Windowing,93.0,7.7,5.7,0.8864,0.487,0.153,0,44
1030,A5_wo_Windowing,98.21,5.44,5.29,0.8801,0.561,0.115,0,32
